name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,active_year,first_year,last_year,AVG
Tyler Wade,447,769,139,167,28,3,7,51.0,73,204.0,50.0,14.0,2.274,2.314,4.588,8,2017,2024,0.211875
Tyler White,257,760,76,179,48,3,26,103.0,87,208.0,1.0,2.0,1.276,1.74,3.016,4,2016,2019,0.245
Tyrone Taylor,461,1214,172,293,75,10,48,171.0,72,305.0,29.0,5.0,1.966,2.846,4.812,6,2019,2024,0.2665
Tzu-Wei Lin,102,193,27,43,9,3,1,12.0,21,57.0,2.0,3.0,1.153,1.2269999999999999,2.38,5,2017,2021,0.1736
U L Washington,907,2797,358,703,103,36,27,255.0,261,409.0,132.0,53.0,3.532,3.604,7.136,11,1977,1987,0.24663636363636365
Ulysses Redd,44,140,14,32,1,3,0,8.0,7,0.0,1.0,0.0,0.552,0.557,1.109,2,1940,1941,0.23099999999999998
Urbane Pickering,235,798,95,205,41,9,11,92.0,72,124.0,6.0,8.0,0.638,0.75,1.388,2,1931,1932,0.256
Vada Pinson,2470,9645,1365,2757,485,127,256,1169.0,574,1196.0,305.0,122.0,5.836,7.755,13.591,18,1958,1975,0.28211111111111115
Val Heim,13,45,6,9,1,1,0,7.0,5,3.0,1.0,0.0,0.294,0.267,0.561,1,1942,1942,0.2
Val Picinich,1038,2877,298,743,166,26,26,298.0,314,382.0,31.0,27.0,5.907,6.349,12.256,18,1916,1933,0.2558888888888889
Valentin Dreke,445,1791,315,593,80,23,15,254.0,137,2.0,59.0,0.0,3.108,3.43,6.538,8,1920,1927,0.33325
Valentino Pascucci,42,73,7,14,1,0,3,8.0,10,25.0,1.0,0.0,0.5700000000000001,0.835,1.4049999999999998,2,2004,2011,0.225
Valmy Thomas,252,626,56,144,20,3,12,60.0,45,79.0,2.0,1.0,1.249,1.3599999999999999,2.609,5,1957,1961,0.196
Van Kelly,111,298,25,66,10,1,4,24.0,27,45.0,0.0,2.0,0.573,0.5660000000000001,1.139,2,1969,1970,0.20650000000000002
Van Snider,19,35,5,7,1,0,1,6.0,0,18.0,0.0,1.0,0.35,0.5,0.8499999999999999,2,1988,1989,0.1785
Vance Dinges,159,501,53,146,20,5,2,46.0,44,29.0,7.0,0.0,0.709,0.757,1.466,2,1945,1946,0.2975
Vance Law,1212,3802,453,972,193,26,71,442.0,408,602.0,34.0,26.0,3.3489999999999998,3.805,7.154,11,1980,1991,0.2400909090909091
Vance Wilson,403,953,104,238,42,2,25,129.0,46,189.0,2.0,8.0,1.847,2.255,4.102,8,1999,2006,0.1925
Vaughn Grissom,95,321,39,82,12,1,5,33.0,20,73.0,7.0,3.0,0.9119999999999999,1.006,1.9180000000000001,3,2022,2024,0.25366666666666665
Verdell Mathis,53,151,18,32,4,0,1,10.0,13,1.0,3.0,0.0,0.516,0.5,1.016,2,1940,1946,0.21
Vern Benson,55,104,17,21,5,1,3,12.0,13,22.0,0.0,0.0,0.982,0.7969999999999999,1.7790000000000001,5,1943,1953,0.09040000000000001
Vern Duncan,311,1100,170,307,39,12,4,97.0,121,98.0,32.0,0.0,1.129,1.191,2.3200000000000003,3,1913,1915,0.32366666666666666
