name,pic_url,birth,season,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
함수호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55440.jpg,2006,2025,삼성,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
함창건,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50108.jpg,2001,2025,LG,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
허경민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79240.jpg,1990,2025,KT,0.301,26,116,103,9,31,2,0,1,36,8,0,0,11,1,12,4,0.35,0.371,4
허인서,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52764.jpg,2003,2025,한화,1,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,2,1,0
현원회,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50840.jpg,2001,2025,SSG,0.15,7,23,20,1,3,1,0,0,4,3,0,0,3,0,8,0,0.2,0.261,0
홍대인,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55897.jpg,2001,2025,SSG,-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
홍민규,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55267.jpg,2006,2025,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
홍종표,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50600.jpg,2000,2025,KIA,0.185,16,35,27,6,5,0,0,0,5,1,1,0,4,0,6,1,0.185,0.281,0
홍창기,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66108.jpg,1993,2025,LG,0.269,38,169,134,24,36,3,0,1,42,15,2,0,24,6,35,4,0.313,0.395,0
홍현빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67005.jpg,1997,2025,삼성,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
황동하,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52641.jpg,2002,2025,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
황성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50500.jpg,1997,2025,롯데,0.324,28,121,111,18,36,3,1,0,41,12,10,2,7,2,14,1,0.369,0.375,2
황영묵,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54795.jpg,1999,2025,한화,0.252,35,125,111,20,28,7,0,1,38,7,0,1,13,0,16,1,0.342,0.331,2
황재균,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76313.jpg,1987,2025,KT,0.246,39,141,126,13,31,5,0,1,39,13,2,1,13,1,30,0,0.31,0.319,0
